Definition,Infinitive,Mood,Tense,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural
[to hide/conceal ],NASCONDERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi nascosto, tu avesti nascosto, lui/lei ebbe nascosto, noi avemmo nascosto, voi aveste nascosto, loro ebbero nascosto
[to hide/conceal ],NASCONDERE, INDICATIVO, FUTURO ANTERIORE, io avrò nascosto, tu avrai nascosto, lui/lei avrà nascosto, noi avremo nascosto, voi avrete nascosto, loro avranno nascosto
[to hide/conceal ],NASCONDERE, CONGIUNTIVO, PRESENTE, che io nasconda, che tu nasconda, che lui/lei nasconda, che noi nascondiamo, che voi nascondiate, che loro nascondano
[to hide/conceal ],NASCONDERE, CONGIUNTIVO, IMPERFETTO, che io nascondessi, che tu nascondessi, che lui/lei nascondesse, che noi nascondessimo, che voi nascondeste, che loro nascondessero
[to hide/conceal ],NASCONDERE, CONGIUNTIVO, PASSATO, che io abbia nascosto, che tu abbia nascosto, che lui/lei abbia nascosto, che noi abbiamo nascosto, che voi abbiate nascosto, che loro abbiano nascosto
[to hide/conceal ],NASCONDERE, CONGIUNTIVO, TRAPASSATO, che io avessi nascosto, che tu avessi nascosto, che lui/lei avesse nascosto, che noi avessimo nascosto, che voi aveste nascosto, che loro avessero nascosto
[to hide/conceal ],NASCONDERE, CONDIZIONALE, Presente, io nasconderei, tu nasconderesti, lui/lei nasconderebbe, noi nasconderemmo, voi nascondereste, loro nasconderebbero
[to hide/conceal ],NASCONDERE, CONDIZIONALE, Passato, io avrei nascosto, tu avresti nascosto, lui/lei avrebbe nascosto, noi avremmo nascosto, voi avreste nascosto, loro avrebbero nascosto
[to hide/conceal ],NASCONDERE, IMPERATIVO, IMPERATIVO, PRESENTE,  nascondi, nasconda, nascondiamo, nascondete, nascondano
[to harm/damage ],NUOCERE, INDICATIVO, PRESENTE, io n(u)occio, tu nuoci, lui/lei nuoce, noi n(u)ociamo, voi n(u)ocete, loro n(u)occiono
[to harm/damage ],NUOCERE, INDICATIVO, IMPERFETTO, io n(u)ocevo, tu n(u)ocevi, lui/lei n(u)oceva, noi n(u)ocevamo, voi n(u)ocevate, loro n(u)ocevano
[to harm/damage ],NUOCERE, INDICATIVO, PASSATO REMOTO, io nocqui, tu n(u)ocesti, lui/lei nocque, noi n(u)ocemmo, voi n(u)oceste, loro nocquero
[to harm/damage ],NUOCERE, INDICATIVO, FUTURO SEMPLICE, io n(u)ocerò, tu n(u)ocerai, lui/lei n(u)ocerà, noi n(u)oceremo, voi n(u)ocerete, loro n(u)oceranno
[to harm/damage ],NUOCERE, INDICATIVO, PASSATO PROSSIMO, io ho n(u)ociuto, tu hai n(u)ociuto, lui/lei ha n(u)ociuto, noi abbiamo n(u)ociuto, voi avete n(u)ociuto, loro hanno n(u)ociuto
[to harm/damage ],NUOCERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo n(u)ociuto, tu avevi n(u)ociuto, lui/lei aveva n(u)ociuto, noi avevamo n(u)ociuto, voi avevate n(u)ociuto, loro avevano n(u)ociuto
[to harm/damage ],NUOCERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi n(u)ociuto, tu avesti n(u)ociuto, lui/lei ebbe n(u)ociuto, noi avemmo n(u)ociuto, voi aveste n(u)ociuto, loro ebbero n(u)ociuto
[to harm/damage ],NUOCERE, INDICATIVO, FUTURO ANTERIORE, io avrò n(u)ociuto, tu avrai n(u)ociuto, lui/lei avrà n(u)ociuto, noi avremo n(u)ociuto, voi avrete n(u)ociuto, loro avranno n(u)ociuto
[to harm/damage ],NUOCERE, CONGIUNTIVO, PRESENTE, che io n(u)occia, che tu n(u)occia, che lui/lei n(u)occia, che noi n(u)ociamo, che voi n(u)ociate, che loro nuocciano
[to harm/damage ],NUOCERE, CONGIUNTIVO, IMPERFETTO, che io n(u)ocessi, che tu n(u)ocessi, che lui/lei n(u)ocesse, che noi n(u)ocessimo, che voi n(u)oceste, che loro n(u)ocessero
[to harm/damage ],NUOCERE, CONGIUNTIVO, PASSATO, che io abbia n(u)ociuto, che tu abbia n(u)ociuto, che lui/lei abbia n(u)ociuto, che noi abbiamo n(u)ociuto, che voi abbiate n(u)ociuto, che loro abbiano n(u)ociuto
[to harm/damage ],NUOCERE, CONGIUNTIVO, TRAPASSATO, che io avessi n(u)ociuto, che tu avessi n(u)ociuto, che lui/lei avesse n(u)ociuto, che noi avessimo n(u)ociuto, che voi aveste n(u)ociuto, che loro avessero n(u)ociuto
[to harm/damage ],NUOCERE, CONDIZIONALE, Presente, io n(u)ocerei, tu n(u)oceresti, lui/lei n(u)ocerebbe, noi n(u)oceremmo, voi n(u)ocereste, loro n(u)ocerebbero
[to harm/damage ],NUOCERE, CONDIZIONALE, Passato, io avrei n(u)ociuto, tu avresti n(u)ociuto, lui/lei avrebbe n(u)ociuto, noi avremmo n(u)ociuto, voi avreste n(u)ociuto, loro avrebbero n(u)ociuto
[to harm/damage ],NUOCERE, IMPERATIVO, IMPERATIVO, PRESENTE,  nuoci, n(u)occia, n(u)ociamo, n(u)ocete, nuocciano
[to promise ],PROMETTERE, INDICATIVO, PRESENTE, io prometto, tu prometti, lui/lei promette, noi promettiamo, voi promettete, loro promettono
[to promise ],PROMETTERE, INDICATIVO, IMPERFETTO, io promettevo, tu promettevi, lui/lei prometteva, noi promettevamo, voi promettevate, loro promettevano
[to promise ],PROMETTERE, INDICATIVO, PASSATO REMOTO, io promisi, tu promettesti, lui/lei promise, noi promettemmo, voi prometteste, loro promisero
[to promise ],PROMETTERE, INDICATIVO, FUTURO SEMPLICE, io prometterò, tu prometterai, lui/lei prometterà, noi prometteremo, voi prometterete, loro prometteranno
[to promise ],PROMETTERE, INDICATIVO, PASSATO PROSSIMO, io ho promesso, tu hai promesso, lui/lei ha promesso, noi abbiamo promesso, voi avete promesso, loro hanno promesso
[to promise ],PROMETTERE, INDICATIVO, TRAPASSATO PROSSIMO, io avevo promesso, tu avevi promesso, lui/lei aveva promesso, noi avevamo promesso, voi avevate promesso, loro avevano promesso
[to promise ],PROMETTERE, INDICATIVO, TRAPASSATO REMOTO, io ebbi promesso, tu avesti promesso, lui/lei ebbe promesso, noi avemmo promesso, voi aveste promesso, loro ebbero promesso
[to promise ],PROMETTERE, INDICATIVO, FUTURO ANTERIORE, io avrò promesso, tu avrai promesso, lui/lei avrà promesso, noi avremo promesso, voi avrete promesso, loro avranno promesso
[to promise ],PROMETTERE, CONGIUNTIVO, PRESENTE, che io prometta, che tu prometta, che lui/lei prometta, che noi promettiamo, che voi promettiate, che loro promettano
[to promise ],PROMETTERE, CONGIUNTIVO, IMPERFETTO, che io promettessi, che tu promettessi, che lui/lei promettesse, che noi promettessimo, che voi prometteste, che loro promettessero
[to promise ],PROMETTERE, CONGIUNTIVO, PASSATO, che io abbia promesso, che tu abbia promesso, che lui/lei abbia promesso, che noi abbiamo promesso, che voi abbiate promesso, che loro abbiano promesso
[to promise ],PROMETTERE, CONGIUNTIVO, TRAPASSATO, che io avessi promesso, che tu avessi promesso, che lui/lei avesse promesso, che noi avessimo promesso, che voi aveste promesso, che loro avessero promesso
[to promise ],PROMETTERE, CONDIZIONALE, Presente, io prometterei, tu prometteresti, lui/lei prometterebbe, noi prometteremmo, voi promettereste, loro prometterebbero
[to promise ],PROMETTERE, CONDIZIONALE, Passato, io avrei promesso, tu avresti promesso, lui/lei avrebbe promesso, noi avremmo promesso, voi avreste promesso, loro avrebbero promesso
[to promise ],PROMETTERE, IMPERATIVO, IMPERATIVO, PRESENTE,  prometti, prometta, promettiamo, promettete, promettano
[to arrive ],GIUNGERE, INDICATIVO, PRESENTE, io giungo, tu giungi, lui/lei giunge, noi giungiamo, voi giungete, loro giungono
[to arrive ],GIUNGERE, INDICATIVO, IMPERFETTO, io giungevo, tu giungevi, lui/lei giungeva, noi giungevamo, voi giungevate, loro giungevano
[to arrive ],GIUNGERE, INDICATIVO, PASSATO REMOTO, io giunsi, tu giungesti, lui/lei giunse, noi giungemmo, voi giungeste, loro giunsero
[to arrive ],GIUNGERE, INDICATIVO, FUTURO SEMPLICE, io giungerò, tu giungerai, lui/lei giungerà, noi giungeremo, voi giungerete, loro giungeranno
[to arrive ],GIUNGERE, INDICATIVO, PASSATO PROSSIMO, io sono giunto/a, tu sei giunto/a, lui/lei è giunto/a, noi siamo giunti/e, voi siete giunti/e, loro sono giunti/e
[to arrive ],GIUNGERE, INDICATIVO, TRAPASSATO PROSSIMO, io ero giunto/a, tu eri giunto/a, lui/lei era giunto/a, noi eravamo giunti/e, voi eravate giunti/e, loro erano giunti/e
[to arrive ],GIUNGERE, INDICATIVO, TRAPASSATO REMOTO, io fui giunto/a, tu fosti giunto/a, lui/lei fu giunto/a, noi fummo giunti/e, voi foste giunti/e, loro furono giunti/e
[to arrive ],GIUNGERE, INDICATIVO, FUTURO ANTERIORE, io sarò giunto/a, tu sarai giunto/a, lui/lei sarà giunto/a, noi saremo giunti/e, voi sarete giunti/e, loro saranno giunti/e
[to arrive ],GIUNGERE, CONGIUNTIVO, PRESENTE, che io giunga, che tu giunga, che lui/lei giunga, che noi giungiamo, che voi giungiate, che loro giungano
[to arrive ],GIUNGERE, CONGIUNTIVO, IMPERFETTO, che io giungessi, che tu giungessi, che lui/lei giungesse, che noi giungessimo, che voi giungeste, che loro giungessero
[to arrive ],GIUNGERE, CONGIUNTIVO, PASSATO, che io sia giunto/a, che tu sia giunto/a, che lui/lei sia giunto/a, che noi siamo giunti/e, che voi siate giunti/e, che loro siano giunti/e
[to arrive ],GIUNGERE, CONGIUNTIVO, TRAPASSATO, che io fossi giunto/a, che tu fossi giunto/a, che lui/lei fosse giunto/a, che noi fossimo giunti/e, che voi foste giunti/e, che loro fossero giunti/e
[to arrive ],GIUNGERE, CONDIZIONALE, Presente, io giungerei, tu giungeresti, lui/lei giungerebbe, noi giungeremmo, voi giungereste, loro giungerebbero
[to arrive ],GIUNGERE, CONDIZIONALE, Passato, io sarei giunto/a, tu saresti giunto/a, lui/lei sarebbe giunto/a, noi saremmo giunti/e, voi sareste giunti/e, loro sarebbero giunti/e
[to arrive ],GIUNGERE, IMPERATIVO, IMPERATIVO, PRESENTE,  giungi, giunga, giungiamo, giungete, giungano
[to eat/dine ],PRANZARE, INDICATIVO, PRESENTE, io pranzo, tu pranzi, lui/lei pranza, noi pranziamo, voi pranzate, loro pranzano
[to eat/dine ],PRANZARE, INDICATIVO, IMPERFETTO, io pranzavo, tu pranzavi, lui/lei pranzava, noi pranzavamo, voi pranzavate, loro pranzavano
[to eat/dine ],PRANZARE, INDICATIVO, PASSATO REMOTO, io pranzai, tu pranzasti, lui/lei pranzò, noi pranzammo, voi pranzaste, loro pranzarono
