Definition,Infinitive,Present Participle,Past Participle,Principal Parts of the Verb,Present,1st Person Singular,2nd Person Singular,3rd Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future I,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Future II,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Past,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Pluperfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Present,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Perfect,1st Person Singular,2nd Person Singular,Third Person Singular,1st Person Plural,2nd Person Plural,3rd Person Plural,Imperative,2nd Person Singular,,2nd Person Plural,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to brief,informieren,informierend,informiert,informieren - informiert - informierte - hat informiert,ich,informiere,informierst,informiert,informieren,informiert,informieren,ich,habe informiert,hast informiert,hat informiert,haben informiert,habt informiert,haben informiert,ich,informierte,informiertest,informierte,informierten,informiertet,informierten,ich,hatte informiert,hattest informiert,hatte informiert,hatten informiert,hattet informiert,hatten informiert,ich,werde informieren,wirst informieren,wird informieren,werden informieren,werdet informieren,werden informieren,ich,werde informiert haben,wirst informiert haben,wird informiert haben,werden informiert haben,werdet informiert haben,werden informiert haben,ich,informiere,informierest,informiere,informieren,informieret,informieren,ich,habe informiert,habest informiert,habe informiert,haben informiert,habet informiert,haben informiert,ich,informierte,informiertest,informierte,informierten,informiertet,informierten,ich,hätte informiert,hättest informiert,hätte informiert,hätten informiert,hättet informiert,hätten informiert,ich,würde informieren,würdest informieren,würde informieren,würden informieren,würdet informieren,würden informieren,ich,würde informiert haben,würdest informiert haben,würde informiert haben,würden informiert haben,würdet informiert haben,würden informiert haben,du,informiere,ihr,informiert,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to take to sth.,sich interessieren,interessierend,interessiert,sich interessieren - interessiert - interessierte - hat interessiert,ich,interessiere,interessierst,interessiert,interessieren,interessiert,interessieren,ich,habe interessiert,hast interessiert,hat interessiert,haben interessiert,habt interessiert,haben interessiert,ich,interessierte,interessiertest,interessierte,interessierten,interessiertet,interessierten,ich,hatte interessiert,hattest interessiert,hatte interessiert,hatten interessiert,hattet interessiert,hatten interessiert,ich,werde mich interessieren,wirst dich interessieren,wird sich interessieren,werden uns interessieren,werdet euch interessieren,werden sich interessieren,ich,werde mich interessiert haben,wirst dich interessiert haben,wird sich interessiert haben,werden uns interessiert haben,werdet euch interessiert haben,werden sich interessiert haben,ich,interessiere,interessierest,interessiere,interessieren,interessieret,interessieren,ich,habe interessiert,habest interessiert,habe interessiert,haben interessiert,habet interessiert,haben interessiert,ich,interessierte,interessiertest,interessierte,interessierten,interessiertet,interessierten,ich,hätte interessiert,hättest interessiert,hätte interessiert,hätten interessiert,hättet interessiert,hätten interessiert,ich,würde mich interessieren,würdest dich interessieren,würde sich interessieren,würden uns interessieren,würdet euch interessieren,würden sich interessieren,ich,würde mich interessiert haben,würdest dich interessiert haben,würde sich interessiert haben,würden uns interessiert haben,würdet euch interessiert haben,würden sich interessiert haben,du,interessiere,ihr,interessiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to err,irren,irrend,geirrt,irren - irrt - irrte - hat geirrt,ich,irre,irrst,irrt,irren,irrt,irren,ich,habe geirrt,hast geirrt,hat geirrt,haben geirrt,habt geirrt,haben geirrt,ich,irrte,irrtest,irrte,irrten,irrtet,irrten,ich,hatte geirrt,hattest geirrt,hatte geirrt,hatten geirrt,hattet geirrt,hatten geirrt,ich,werde irren,wirst irren,wird irren,werden irren,werdet irren,werden irren,ich,werde geirrt haben,wirst geirrt haben,wird geirrt haben,werden geirrt haben,werdet geirrt haben,werden geirrt haben,ich,irre,irrest,irre,irren,irret,irren,ich,habe geirrt,habest geirrt,habe geirrt,haben geirrt,habet geirrt,haben geirrt,ich,irrte,irrtest,irrte,irrten,irrtet,irrten,ich,hätte geirrt,hättest geirrt,hätte geirrt,hätten geirrt,hättet geirrt,hätten geirrt,ich,würde irren,würdest irren,würde irren,würden irren,würdet irren,würden irren,ich,würde geirrt haben,würdest geirrt haben,würde geirrt haben,würden geirrt haben,würdet geirrt haben,würden geirrt haben,du,irre,ihr,irrt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to jar,irritieren,irritierend,irritiert,irritieren - irritiert - irritierte - hat irritiert,ich,irritiere,irritierst,irritiert,irritieren,irritiert,irritieren,ich,habe irritiert,hast irritiert,hat irritiert,haben irritiert,habt irritiert,haben irritiert,ich,irritierte,irritiertest,irritierte,irritierten,irritiertet,irritierten,ich,hatte irritiert,hattest irritiert,hatte irritiert,hatten irritiert,hattet irritiert,hatten irritiert,ich,werde irritieren,wirst irritieren,wird irritieren,werden irritieren,werdet irritieren,werden irritieren,ich,werde irritiert haben,wirst irritiert haben,wird irritiert haben,werden irritiert haben,werdet irritiert haben,werden irritiert haben,ich,irritiere,irritierest,irritiere,irritieren,irritieret,irritieren,ich,habe irritiert,habest irritiert,habe irritiert,haben irritiert,habet irritiert,haben irritiert,ich,irritierte,irritiertest,irritierte,irritierten,irritiertet,irritierten,ich,hätte irritiert,hättest irritiert,hätte irritiert,hätten irritiert,hättet irritiert,hätten irritiert,ich,würde irritieren,würdest irritieren,würde irritieren,würden irritieren,würdet irritieren,würden irritieren,ich,würde irritiert haben,würdest irritiert haben,würde irritiert haben,würden irritiert haben,würdet irritiert haben,würden irritiert haben,du,irritiere,ihr,irritiert,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to insulate,isolieren,isolierend,isoliert,isolieren - isoliert - isolierte - hat isoliert,ich,isoliere,isolierst,isoliert,isolieren,isoliert,isolieren,ich,habe isoliert,hast isoliert,hat isoliert,haben isoliert,habt isoliert,haben isoliert,ich,isolierte,isoliertest,isolierte,isolierten,isoliertet,isolierten,ich,hatte isoliert,hattest isoliert,hatte isoliert,hatten isoliert,hattet isoliert,hatten isoliert,ich,werde isolieren,wirst isolieren,wird isolieren,werden isolieren,werdet isolieren,werden isolieren,ich,werde isoliert haben,wirst isoliert haben,wird isoliert haben,werden isoliert haben,werdet isoliert haben,werden isoliert haben,ich,isoliere,isolierest,isoliere,isolieren,isolieret,isolieren,ich,habe isoliert,habest isoliert,habe isoliert,haben isoliert,habet isoliert,haben isoliert,ich,isolierte,isoliertest,isolierte,isolierten,isoliertet,isolierten,ich,hätte isoliert,hättest isoliert,hätte isoliert,hätten isoliert,hättet isoliert,hätten isoliert,ich,würde isolieren,würdest isolieren,würde isolieren,würden isolieren,würdet isolieren,würden isolieren,ich,würde isoliert haben,würdest isoliert haben,würde isoliert haben,würden isoliert haben,würdet isoliert haben,würden isoliert haben,du,isoliere,ihr,isoliert,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to chase sb./sth.,jagen,jagend,gejagt,jagen - jagt - jagte - hat gejagt,ich,jage,jagst,jagt,jagen,jagt,jagen,ich,habe gejagt,hast gejagt,hat gejagt,haben gejagt,habt gejagt,haben gejagt,ich,jagte,jagtest,jagte,jagten,jagtet,jagten,ich,hatte gejagt,hattest gejagt,hatte gejagt,hatten gejagt,hattet gejagt,hatten gejagt,ich,werde jagen,wirst jagen,wird jagen,werden jagen,werdet jagen,werden jagen,ich,werde gejagt haben,wirst gejagt haben,wird gejagt haben,werden gejagt haben,werdet gejagt haben,werden gejagt haben,ich,jage,jagest,jage,jagen,jaget,jagen,ich,habe gejagt,habest gejagt,habe gejagt,haben gejagt,habet gejagt,haben gejagt,ich,jagte,jagtest,jagte,jagten,jagtet,jagten,ich,hätte gejagt,hättest gejagt,hätte gejagt,hätten gejagt,hättet gejagt,hätten gejagt,ich,würde jagen,würdest jagen,würde jagen,würden jagen,würdet jagen,würden jagen,ich,würde gejagt haben,würdest gejagt haben,würde gejagt haben,würden gejagt haben,würdet gejagt haben,würden gejagt haben,du,jage,ihr,jagt,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to cheer,jauchzen,jauchzend,gejauchzt,jauchzen - jauchzt - jauchzte - hat gejauchzt,ich,jauchze,jauchzt,jauchzt,jauchzen,jauchzt,jauchzen,ich,habe gejauchzt,hast gejauchzt,hat gejauchzt,haben gejauchzt,habt gejauchzt,haben gejauchzt,ich,jauchzte,jauchztest,jauchzte,jauchzten,jauchztet,jauchzten,ich,hatte gejauchzt,hattest gejauchzt,hatte gejauchzt,hatten gejauchzt,hattet gejauchzt,hatten gejauchzt,ich,werde jauchzen,wirst jauchzen,wird jauchzen,werden jauchzen,werdet jauchzen,werden jauchzen,ich,werde gejauchzt haben,wirst gejauchzt haben,wird gejauchzt haben,werden gejauchzt haben,werdet gejauchzt haben,werden gejauchzt haben,ich,jauchze,jauchzest,jauchze,jauchzen,jauchzet,jauchzen,ich,habe gejauchzt,habest gejauchzt,habe gejauchzt,haben gejauchzt,habet gejauchzt,haben gejauchzt,ich,jauchzte,jauchztest,jauchzte,jauchzten,jauchztet,jauchzten,ich,hätte gejauchzt,hättest gejauchzt,hätte gejauchzt,hätten gejauchzt,hättet gejauchzt,hätten gejauchzt,ich,würde jauchzen,würdest jauchzen,würde jauchzen,würden jauchzen,würdet jauchzen,würden jauchzen,ich,würde gejauchzt haben,würdest gejauchzt haben,würde gejauchzt haben,würden gejauchzt haben,würdet gejauchzt haben,würden gejauchzt haben,du,jauchze,ihr,jauchzt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to yelp,jaulen,jaulend,gejault,jaulen - jault - jaulte - hat gejault,ich,jaule,jaulst,jault,jaulen,jault,jaulen,ich,habe gejault,hast gejault,hat gejault,haben gejault,habt gejault,haben gejault,ich,jaulte,jaultest,jaulte,jaulten,jaultet,jaulten,ich,hatte gejault,hattest gejault,hatte gejault,hatten gejault,hattet gejault,hatten gejault,ich,werde jaulen,wirst jaulen,wird jaulen,werden jaulen,werdet jaulen,werden jaulen,ich,werde gejault haben,wirst gejault haben,wird gejault haben,werden gejault haben,werdet gejault haben,werden gejault haben,ich,jaule,jaulest,jaule,jaulen,jaulet,jaulen,ich,habe gejault,habest gejault,habe gejault,haben gejault,habet gejault,haben gejault,ich,jaulte,jaultest,jaulte,jaulten,jaultet,jaulten,ich,hätte gejault,hättest gejault,hätte gejault,hätten gejault,hättet gejault,hätten gejault,ich,würde jaulen,würdest jaulen,würde jaulen,würden jaulen,würdet jaulen,würden jaulen,ich,würde gejault haben,würdest gejault haben,würde gejault haben,würden gejault haben,würdet gejault haben,würden gejault haben,du,jaule,ihr,jault,English,English,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to temp [coll.],jobben,jobbend,gejobbt,jobben - jobbt - jobbte - hat gejobbt,ich,jobbe,jobbst,jobbt,jobben,jobbt,jobben,ich,habe gejobbt,hast gejobbt,hat gejobbt,haben gejobbt,habt gejobbt,haben gejobbt,ich,jobbte,jobbtest,jobbte,jobbten,jobbtet,jobbten,ich,hatte gejobbt,hattest gejobbt,hatte gejobbt,hatten gejobbt,hattet gejobbt,hatten gejobbt,ich,werde jobben,wirst jobben,wird jobben,werden jobben,werdet jobben,werden jobben,ich,werde gejobbt haben,wirst gejobbt haben,wird gejobbt haben,werden gejobbt haben,werdet gejobbt haben,werden gejobbt haben,ich,jobbe,jobbest,jobbe,jobben,jobbet,jobben,ich,habe gejobbt,habest gejobbt,habe gejobbt,haben gejobbt,habet gejobbt,haben gejobbt,ich,jobbte,jobbtest,jobbte,jobbten,jobbtet,jobbten,ich,hätte gejobbt,hättest gejobbt,hätte gejobbt,hätten gejobbt,hättet gejobbt,hätten gejobbt,ich,würde jobben,würdest jobben,würde jobben,würden jobben,würdet jobben,würden jobben,ich,würde gejobbt haben,würdest gejobbt haben,würde gejobbt haben,würden gejobbt haben,würdet gejobbt haben,würden gejobbt haben,du,jobbe,ihr,jobbt,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mus. to yodel,jodeln,jodelnd,gejodelt,jodeln - jodelt - jodelte - hat gejodelt,ich,jodle,jodelst,jodelt,jodeln,jodelt,jodeln,ich,habe gejodelt,hast gejodelt,hat gejodelt,haben gejodelt,habt gejodelt,haben gejodelt,ich,jodelte,jodeltest,jodelte,jodelten,jodeltet,jodelten,ich,hatte gejodelt,hattest gejodelt,hatte gejodelt,hatten gejodelt,hattet gejodelt,hatten gejodelt,ich,werde jodeln,wirst jodeln,wird jodeln,werden jodeln,werdet jodeln,werden jodeln,ich,werde gejodelt haben,wirst gejodelt haben,wird gejodelt haben,werden gejodelt haben,werdet gejodelt haben,werden gejodelt haben,ich,jodle,jodlest,jodle,jodlen,jodlet,jodlen,ich,habe gejodelt,habest gejodelt,habe gejodelt,haben gejodelt,habet gejodelt,haben gejodelt,ich,jodelte,jodeltest,jodelte,jodelten,jodeltet,jodelten,ich,hätte gejodelt,hättest gejodelt,hätte gejodelt,hätten gejodelt,hättet gejodelt,hätten gejodelt,ich,würde jodeln,würdest jodeln,würde jodeln,würden jodeln,würdet jodeln,würden jodeln,ich,würde gejodelt haben,würdest gejodelt haben,würde gejodelt haben,würden gejodelt haben,würdet gejodelt haben,würden gejodelt haben,du,jodle,ihr,jodelt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sports to jog,joggen,joggend,gejoggt,joggen - joggt - joggte - hat gejoggt,ich,jogge,joggst,joggt,joggen,joggt,joggen,ich,habe gejoggt,hast gejoggt,hat gejoggt,haben gejoggt,habt gejoggt,haben gejoggt,ich,joggte,joggtest,joggte,joggten,joggtet,joggten,ich,hatte gejoggt,hattest gejoggt,hatte gejoggt,hatten gejoggt,hattet gejoggt,hatten gejoggt,ich,werde joggen,wirst joggen,wird joggen,werden joggen,werdet joggen,werden joggen,ich,werde gejoggt haben,wirst gejoggt haben,wird gejoggt haben,werden gejoggt haben,werdet gejoggt haben,werden gejoggt haben,ich,jogge,joggest,jogge,joggen,jogget,joggen,ich,habe gejoggt,habest gejoggt,habe gejoggt,haben gejoggt,habet gejoggt,haben gejoggt,ich,joggte,joggtest,joggte,joggten,joggtet,joggten,ich,hätte gejoggt,hättest gejoggt,hätte gejoggt,hätten gejoggt,hättet gejoggt,hätten gejoggt,ich,würde joggen,würdest joggen,würde joggen,würden joggen,würdet joggen,würden joggen,ich,würde gejoggt haben,würdest gejoggt haben,würde gejoggt haben,würden gejoggt haben,würdet gejoggt haben,würden gejoggt haben,du,jogge,ihr,joggt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to itch,jucken,juckend,gejuckt,jucken - juckt - juckte - hat gejuckt,ich,jucke,juckst,juckt,jucken,juckt,jucken,ich,habe gejuckt,hast gejuckt,hat gejuckt,haben gejuckt,habt gejuckt,haben gejuckt,ich,juckte,jucktest,juckte,juckten,jucktet,juckten,ich,hatte gejuckt,hattest gejuckt,hatte gejuckt,hatten gejuckt,hattet gejuckt,hatten gejuckt,ich,werde jucken,wirst jucken,wird jucken,werden jucken,werdet jucken,werden jucken,ich,werde gejuckt haben,wirst gejuckt haben,wird gejuckt haben,werden gejuckt haben,werdet gejuckt haben,werden gejuckt haben,ich,jucke,juckest,jucke,jucken,jucket,jucken,ich,habe gejuckt,habest gejuckt,habe gejuckt,haben gejuckt,habet gejuckt,haben gejuckt,ich,juckte,jucktest,juckte,juckten,jucktet,juckten,ich,hätte gejuckt,hättest gejuckt,hätte gejuckt,hätten gejuckt,hättet gejuckt,hätten gejuckt,ich,würde jucken,würdest jucken,würde jucken,würden jucken,würdet jucken,würden jucken,ich,würde gejuckt haben,würdest gejuckt haben,würde gejuckt haben,würden gejuckt haben,würdet gejuckt haben,würden gejuckt haben,du,jucke,ihr,juckt,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to adjust,justieren,justierend,justiert,justieren - justiert - justierte - hat justiert,ich,justiere,justierst,justiert,justieren,justiert,justieren,ich,habe justiert,hast justiert,hat justiert,haben justiert,habt justiert,haben justiert,ich,justierte,justiertest,justierte,justierten,justiertet,justierten,ich,hatte justiert,hattest justiert,hatte justiert,hatten justiert,hattet justiert,hatten justiert,ich,werde justieren,wirst justieren,wird justieren,werden justieren,werdet justieren,werden justieren,ich,werde justiert haben,wirst justiert haben,wird justiert haben,werden justiert haben,werdet justiert haben,werden justiert haben,ich,justiere,justierest,justiere,justieren,justieret,justieren,ich,habe justiert,habest justiert,habe justiert,haben justiert,habet justiert,haben justiert,ich,justierte,justiertest,justierte,justierten,justiertet,justierten,ich,hätte justiert,hättest justiert,hätte justiert,hätten justiert,hättet justiert,hätten justiert,ich,würde justieren,würdest justieren,würde justieren,würden justieren,würdet justieren,würden justieren,ich,würde justiert haben,würdest justiert haben,würde justiert haben,würden justiert haben,würdet justiert haben,würden justiert haben,du,justiere,ihr,justiert,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to comb,kämmen,kämmend,gekämmt,kämmen - kämmt - kämmte - hat gekämmt,ich,kämme,kämmst,kämmt,kämmen,kämmt,kämmen,ich,habe gekämmt,hast gekämmt,hat gekämmt,haben gekämmt,habt gekämmt,haben gekämmt,ich,kämmte,kämmtest,kämmte,kämmten,kämmtet,kämmten,ich,hatte gekämmt,hattest gekämmt,hatte gekämmt,hatten gekämmt,hattet gekämmt,hatten gekämmt,ich,werde kämmen,wirst kämmen,wird kämmen,werden kämmen,werdet kämmen,werden kämmen,ich,werde gekämmt haben,wirst gekämmt haben,wird gekämmt haben,werden gekämmt haben,werdet gekämmt haben,werden gekämmt haben,ich,kämme,kämmest,kämme,kämmen,kämmet,kämmen,ich,habe gekämmt,habest gekämmt,habe gekämmt,haben gekämmt,habet gekämmt,haben gekämmt,ich,kämmte,kämmtest,kämmte,kämmten,kämmtet,kämmten,ich,hätte gekämmt,hättest gekämmt,hätte gekämmt,hätten gekämmt,hättet gekämmt,hätten gekämmt,ich,würde kämmen,würdest kämmen,würde kämmen,würden kämmen,würdet kämmen,würden kämmen,ich,würde gekämmt haben,würdest gekämmt haben,würde gekämmt haben,würden gekämmt haben,würdet gekämmt haben,würden gekämmt haben,du,kämme,ihr,kämmt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to struggle,kämpfen,kämpfend,gekämpft,kämpfen - kämpft - kämpfte - hat gekämpft,ich,kämpfe,kämpfst,kämpft,kämpfen,kämpft,kämpfen,ich,habe gekämpft,hast gekämpft,hat gekämpft,haben gekämpft,habt gekämpft,haben gekämpft,ich,kämpfte,kämpftest,kämpfte,kämpften,kämpftet,kämpften,ich,hatte gekämpft,hattest gekämpft,hatte gekämpft,hatten gekämpft,hattet gekämpft,hatten gekämpft,ich,werde kämpfen,wirst kämpfen,wird kämpfen,werden kämpfen,werdet kämpfen,werden kämpfen,ich,werde gekämpft haben,wirst gekämpft haben,wird gekämpft haben,werden gekämpft haben,werdet gekämpft haben,werden gekämpft haben,ich,kämpfe,kämpfest,kämpfe,kämpfen,kämpfet,kämpfen,ich,habe gekämpft,habest gekämpft,habe gekämpft,haben gekämpft,habet gekämpft,haben gekämpft,ich,kämpfte,kämpftest,kämpfte,kämpften,kämpftet,kämpften,ich,hätte gekämpft,hättest gekämpft,hätte gekämpft,hätten gekämpft,hättet gekämpft,hätten gekämpft,ich,würde kämpfen,würdest kämpfen,würde kämpfen,würden kämpfen,würdet kämpfen,würden kämpfen,ich,würde gekämpft haben,würdest gekämpft haben,würde gekämpft haben,würden gekämpft haben,würdet gekämpft haben,würden gekämpft haben,du,kämpfe,ihr,kämpft,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
to chew,kauen,kauend,gekaut,kauen - kaut - kaute - hat gekaut,ich,kaue,kaust,kaut,kauen,kaut,kauen,ich,habe gekaut,hast gekaut,hat gekaut,haben gekaut,habt gekaut,haben gekaut,ich,kaute,kautest,kaute,kauten,kautet,kauten,ich,hatte gekaut,hattest gekaut,hatte gekaut,hatten gekaut,hattet gekaut,hatten gekaut,ich,werde kauen,wirst kauen,wird kauen,werden kauen,werdet kauen,werden kauen,ich,werde gekaut haben,wirst gekaut haben,wird gekaut haben,werden gekaut haben,werdet gekaut haben,werden gekaut haben,ich,kaue,kauest,kaue,kauen,kauet,kauen,ich,habe gekaut,habest gekaut,habe gekaut,haben gekaut,habet gekaut,haben gekaut,ich,kaute,kautest,kaute,kauten,kautet,kauten,ich,hätte gekaut,hättest gekaut,hätte gekaut,hätten gekaut,hättet gekaut,hätten gekaut,ich,würde kauen,würdest kauen,würde kauen,würden kauen,würdet kauen,würden kauen,ich,würde gekaut haben,würdest gekaut haben,würde gekaut haben,würden gekaut haben,würdet gekaut haben,würden gekaut haben,du,kaue,ihr,kaut,English,English,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
